                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.4143,                 1.4659,                 1.5998,                0.67645,                 0.4959,                0.56988,                 0.3361,                 1.4499,                 1.3415,                 1.6208,               0.007261,               0.007261,               0.007261
                     85,                 1.4055,                 1.4711,                 1.6105,                0.67857,                0.50336,                0.57471,                0.33895,                 1.4541,                 1.3489,                 1.6248,               0.007228,               0.007228,               0.007228
                     86,                 1.4153,                 1.4571,                  1.608,                0.70828,                 0.4944,                0.57572,                0.33678,                 1.4517,                 1.3346,                 1.6237,               0.007195,               0.007195,               0.007195
                     87,                 1.4019,                 1.4552,                 1.5982,                0.68116,                0.49266,                0.57138,                0.33621,                 1.4535,                 1.3465,                 1.6253,               0.007162,               0.007162,               0.007162
                     88,                  1.407,                 1.4636,                  1.601,                0.70091,                0.48893,                0.57582,                0.34099,                 1.4456,                 1.3294,                 1.6205,               0.007129,               0.007129,               0.007129
                     89,                 1.3998,                 1.4482,                 1.5983,                0.70441,                0.49142,                0.57942,                0.33897,                 1.4528,                 1.3221,                 1.6337,               0.007096,               0.007096,               0.007096
                     90,                 1.4141,                 1.4462,                 1.6128,                0.69723,                0.48819,                0.57457,                 0.3384,                 1.4406,                 1.3267,                  1.621,               0.007063,               0.007063,               0.007063
                     91,                  1.392,                 1.4309,                 1.5908,                0.69353,                0.48993,                0.57347,                0.33965,                 1.4451,                 1.3281,                  1.615,                0.00703,                0.00703,                0.00703
                     92,                 1.3972,                 1.4413,                 1.6072,                0.68008,                 0.5017,                0.57646,                0.34009,                 1.4482,                 1.3165,                 1.6197,               0.006997,               0.006997,               0.006997
                     93,                 1.3975,                 1.4319,                 1.5824,                0.70118,                0.49789,                0.58405,                0.34384,                 1.4354,                 1.2997,                 1.6025,               0.006964,               0.006964,               0.006964
                     94,                 1.3859,                 1.4282,                 1.5892,                0.68424,                0.50112,                0.57982,                0.34331,                  1.426,                 1.3074,                 1.6022,               0.006931,               0.006931,               0.006931
                     95,                 1.3859,                 1.4182,                   1.59,                0.68107,                0.49863,                0.58107,                0.34638,                 1.4242,                 1.3008,                 1.5972,               0.006898,               0.006898,               0.006898
                     96,                  1.384,                 1.4077,                 1.5773,                  0.699,                0.49217,                0.58402,                0.34749,                 1.4172,                 1.2882,                 1.5926,               0.006865,               0.006865,               0.006865
                     97,                 1.3762,                 1.4095,                 1.5691,                0.70181,                0.50311,                0.58559,                0.34862,                 1.4212,                  1.299,                 1.5952,               0.006832,               0.006832,               0.006832
                     98,                 1.3851,                 1.4247,                 1.5835,                0.71115,                0.49656,                0.58538,                0.34778,                 1.4142,                 1.2903,                 1.5909,               0.006799,               0.006799,               0.006799
                     99,                 1.3793,                 1.4072,                 1.5781,                0.70359,                0.50944,                0.59019,                0.35241,                  1.418,                 1.2865,                 1.5908,               0.006766,               0.006766,               0.006766
